Time,Time,Flow
2019,07/01/2019,20690.0
2019,07/02/2019,7152.0
2019,07/03/2019,81401.0
2019,07/04/2019,23660.0
2019,07/05/2019,1232.0
2019,07/06/2019,84573.0
2019,07/07/2019,28125.0
2019,07/08/2019,61135.0
2019,07/09/2019,13473.0
2019,07/10/2019,84220.0
2019,07/11/2019,28053.0
2019,07/12/2019,77449.0
2019,07/13/2019,8924.0
2019,07/14/2019,127152.0
2019,07/15/2019,8502.0
2019,07/16/2019,38861.0
2019,07/17/2019,13917.0
2019,07/18/2019,21833.0
2019,07/19/2019,8075.0
2019,07/20/2019,5343.0
2019,07/21/2019,15643.0
2019,07/22/2019,31467.0
2019,07/23/2019,30076.0
2019,07/24/2019,20615.0
2019,07/25/2019,6120.0
2019,07/26/2019,9236.0
2019,07/27/2019,15648.0
2019,07/28/2019,11701.0
2019,07/29/2019,28892.0
2019,07/30/2019,100552.0
2019,07/31/2019,26857.0
2019,08/01/2019,0.0
2019,08/02/2019,0.0
2019,08/03/2019,0.0
2019,08/04/2019,35130.0
2019,08/05/2019,81357.0
2019,08/06/2019,39175.0
2019,08/07/2019,2380.0
2019,08/08/2019,2633.0
2019,08/09/2019,7712.0
2019,08/10/2019,0.0
2019,08/11/2019,0.0
2019,08/13/2019,37317.0
2019,08/14/2019,992.0
2019,08/15/2019,29581.0
2019,08/16/2019,48328.0
2019,08/17/2019,14467.0
2019,08/18/2019,3281.0
2019,08/19/2019,29039.0
2019,08/20/2019,2.0
2019,08/21/2019,0.0
2019,08/22/2019,39164.0
2019,08/23/2019,0.0
2019,08/24/2019,0.0
2019,08/25/2019,15262.0
2019,08/29/2019,3378.0
2019,08/30/2019,32571.0
2019,08/31/2019,36333.0
2019,09/01/2019,10342.0
2019,09/02/2019,25030.0
2019,09/03/2019,21574.0
2019,09/04/2019,31048.0
2019,09/05/2019,28049.0
2019,09/06/2019,24034.0
2019,09/07/2019,46440.0
2019,09/08/2019,3885.0
2019,09/09/2019,20834.0
2019,09/10/2019,72133.0
2019,09/11/2019,3494.0
2019,09/12/2019,2.0
2019,09/13/2019,8266.0
2019,09/14/2019,31371.0
2019,09/15/2019,9640.0
2019,09/16/2019,36415.0
2019,09/17/2019,27180.0
2019,09/18/2019,77167.0
2019,09/19/2019,21451.0
2019,09/20/2019,9119.0
2019,09/21/2019,49737.0
2019,09/22/2019,32648.0
2019,09/23/2019,62442.0
2019,09/24/2019,37472.0
2019,09/25/2019,33202.0
2019,09/26/2019,59601.0
2019,09/27/2019,35353.0
2019,09/28/2019,42155.0
2019,09/29/2019,74933.0
2019,09/30/2019,24538.0
2019,10/01/2019,42823.0
2019,10/02/2019,87.0
2019,10/03/2019,55045.0
2019,10/04/2019,27896.0
2019,10/05/2019,31453.0
2019,10/06/2019,79024.0
2019,10/07/2019,6932.0
2019,10/08/2019,82508.0
2019,10/09/2019,63225.0
2019,10/10/2019,41888.0
2019,10/11/2019,40571.0
2019,10/12/2019,95736.0
2019,10/13/2019,86971.0
